quantile,subset,unit,N,lambda,Z_zero_skill,H0_skill,MoE_skill,gap
0.75,DS02,15,1,0.01,0,-0.864045816445955,-0.486193473468846,0.377852342977109
0.75,DS02,15,1,0.0316227766016838,0,-0.863861419034445,-0.486085613222723,0.377775805811722
0.75,DS02,15,1,0.1,0,-0.831478528215784,-0.485744672504691,0.345733855711094
0.75,DS02,15,1,0.316227766016838,0,-0.436309094058716,-0.371277731415042,0.0650313626436747
0.75,DS02,15,1,1,0,0.5195830574717,0.505838904915128,-0.0137441525565711
0.75,DS02,15,1,3.16227766016838,0,0.845093366016302,0.806066479515906,-0.0390268865003953
0.75,DS02,15,1,10,0,0.954217354838118,0.942299223789274,-0.0119181310488435
0.75,DS02,15,1,31.6227766016838,0,0.983130093358051,0.980520853116981,-0.00260924024106957
0.75,DS02,15,1,100,0,0.978750618079762,0.972184299170034,-0.00656631890972836
0.75,DS02,15,1,316.227766016838,0,0.902041351862522,0.896283403200572,-0.00575794866195012
0.75,DS02,15,1,1000,0,0.729091081099925,0.726931358534997,-0.00215972256492813
0.75,DS02,15,10,0.001,0,-0.858475416371092,-0.48983266093164,0.368642755439452
0.75,DS02,15,10,0.00316227766016838,0,-0.858456575476757,-0.48982154658571,0.368635028891047
0.75,DS02,15,10,0.01,0,-0.858396998700635,-0.489786401463619,0.368610597237016
0.75,DS02,15,10,0.0316227766016838,0,-0.858208634016564,-0.489675278084152,0.368533355932413
0.75,DS02,15,10,0.1,0,-0.857613308597994,-0.489324027576738,0.368289281021256
0.75,DS02,15,10,0.316227766016838,0,0.0628897859005048,0.125593876551184,0.0627040906506797
0.75,DS02,15,10,1,0,0.786998716692178,0.770387247815662,-0.0166114688765157
0.75,DS02,15,10,3.16227766016838,0,0.942433577680338,0.934408134723049,-0.00802544295728969
0.75,DS02,15,10,10,0,0.981879850784783,0.98210201828774,0.000222167502956672
0.75,DS02,15,10,31.6227766016838,0,0.990740812576197,0.989190562857746,-0.00155024971845152
0.75,DS02,15,10,100,0,0.978749386285589,0.970959233616718,-0.00779015266887062
0.75,DS02,15,10,316.227766016838,0,0.898051007536301,0.892144588386669,-0.00590641914963141
0.75,DS02,15,10,1000,0,0.72479502123594,0.72224918499413,-0.00254583624181071
0.75,DS02,15,100,0.001,0,-0.874050710510105,-0.496320058425451,0.377730652084653
0.75,DS02,15,100,0.00316227766016838,0,-0.87403158192987,-0.496308798478831,0.377722783451039
0.75,DS02,15,100,0.01,0,-0.873971095461084,-0.496273192962779,0.377697902498305
0.75,DS02,15,100,0.0316227766016838,0,-0.87377985457643,-0.496160614048336,0.377619240528094
0.75,DS02,15,100,0.1,0,-0.873175438812817,-0.49580476431827,0.377370674494547
0.75,DS02,15,100,0.316227766016838,0,-0.106100669759197,-0.126752601925825,-0.0206519321666281
0.75,DS02,15,100,1,0,0.784916911168648,0.74840288973045,-0.0365140214381985
0.75,DS02,15,100,3.16227766016838,0,0.949050082089276,0.934040199511784,-0.0150098825774921
0.75,DS02,15,100,10,0,0.983163576733031,0.983193784206488,3.02074734565005e-05
0.75,DS02,15,100,31.6227766016838,0,0.991364230942012,0.990096375178142,-0.00126785576387067
0.75,DS02,15,100,100,0,0.980690708342856,0.972964179916384,-0.00772652842647215
0.75,DS02,15,100,316.227766016838,0,0.901305366562392,0.895295600572404,-0.00600976598998737
0.75,DS02,15,100,1000,0,0.72776305535923,0.725330571483511,-0.00243248387571893
0.75,DS02,15,1000,0.001,0,-0.874857767197114,-0.496451498586395,0.378406268610719
0.75,DS02,15,1000,0.00316227766016838,0,-0.874838637024556,-0.496440265902266,0.378398371122291
0.75,DS02,15,1000,0.01,0,-0.874778145519272,-0.496404746586872,0.3783733989324
0.75,DS02,15,1000,0.0316227766016838,0,-0.874586888696514,-0.496292440153692,0.378294448542822
