subset,unit,N,method,lam,skill,rmse,rmse_early,false_alarm,detect_corr,res_norm,sol_norm,delta
DS02,11,100,B,316.22776601683796,0.8966484934067018,0.02682537751584977,0.003953303647063851,0.007547443111118128,0.9960347874590392,14.69856340195226,1.5158857744151046,2.599510286068454
DS02,11,100,D,316.22776601683796,0.8979256861137809,0.026659111514547796,0.00256911648749701,0.0048640375848475964,0.9942547818016179,15.51482908227384,1.5168805410712385,2.599510286068454
DS02,11,100,B,1000.0,0.7362909201272154,0.04284991633680294,0.0032971810094345514,0.008747317497721388,0.9963857738713985,28.366831517106224,1.1444875729155761,2.599510286068454
DS02,11,100,D,1000.0,0.7384119657652002,0.04267724477004877,0.0028541804201575047,0.006537223961241466,0.9956018056819779,28.78796773353919,1.1465554735114545,2.599510286068454
DS02,11,100,B,3162.2776601683795,0.4967774625133087,0.059192608415893015,0.0038664911112674385,0.00682422829734283,0.9965152601684322,48.15399246574845,0.6841511961943649,2.599510286068454
DS02,11,100,D,3162.2776601683795,0.49887230608216926,0.059069274738523345,0.0037871674205201774,0.005191523934038915,0.9964134949627438,48.49623941677297,0.684007834575253,2.599510286068454
DS02,11,100,B,10000.0,0.24654388887594525,0.07242965498307996,0.004619467135925028,0.0037423764383437935,0.9966145556420845,65.47693264668845,0.3070459891343414,2.599510286068454
DS02,11,100,D,10000.0,0.24723230191422518,0.07239655888590332,0.004616544800608742,0.002830428258861502,0.9964159368043339,65.7230322282176,0.3064259010798339,2.599510286068454
DS02,11,1000,Z_zero,,0.0,0.08344252482394354,0.0052992652588213715,0.0,0.0,80.86214774957195,0.0,0.8220373305012185
DS02,11,1000,B,1e-06,-24.38900217469468,0.4204460270256675,0.4745643934170632,0.009402439803551236,0.12105827232543691,1.7689362758861629,9.996949181233415,0.8220373305012185
DS02,11,1000,D,1e-06,0.08167162494186386,0.07996251375113558,0.008073116542760652,0.0006575039901226432,0.9635289813410246,5.623531895518194,2.564530209635743,0.8220373305012185
DS02,11,1000,B,3.162277660168379e-06,-24.38570452986571,0.42041872137023095,0.474533874519988,0.009402293613745751,0.12106836621837219,1.7689362831361815,9.996332723231797,0.8220373305012185
DS02,11,1000,D,3.162277660168379e-06,0.08171553266783338,0.07996060211788696,0.008073116476124133,0.000657500855926079,0.9635303981401172,5.623531895544367,2.564502628902056,0.8220373305012185
DS02,11,1000,B,1e-05,-24.375280662383542,0.4203323964270034,0.4744373911255204,0.009401831444512097,0.1211002854512004,1.7689363556046593,9.99438384430258,0.8220373305012185
DS02,11,1000,D,1e-05,0.0818543498837545,0.07995455806068587,0.008073116265420396,0.0006574909462699046,0.9635348751395248,5.6235318958060585,2.564415429472432,0.8220373305012185
DS02,11,1000,B,3.1622776601683795e-05,-24.342359466332038,0.420059644047667,0.47413254198203947,0.009400371171546039,0.1212012182898074,1.76893707928735,9.988226268917789,0.8220373305012185
DS02,11,1000,D,3.1622776601683795e-05,0.08229301663126143,0.0799354556469099,0.008073115599312673,0.00065745962461333,0.9635489995736713,5.623531898420849,2.5641398656305485,0.8220373305012185
